Date,Customer,Customer-Address,Product Type,Gallon Qty,Actual Profit By Item,Actual Cost by item,Sales,Margin by Product,Unleaded cost,Clear Cost,Dyed Cost
1/2/2025,FEDEX GROUND - PUEBLO,"FEDEX  GROUND 150 GREENHORN DRIVE PUEBLO, CO  81004",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),3,$2.59 ,$6.69 ,$9.28 ,$0.86 ,$5.70 ,$6.69 ,$6.72 
1/2/2025,NARANJO CIVIL CONSTRUCTORS INC,"JERRY NARANJO 627 27TH ST GARDEN CITY, CO 80631",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),31,$16.43 ,$72.03 ,$88.46 ,$0.53 ,$65.95 ,$72.03 ,$72.00 
1/2/2025,APEX WASTE SOLUTIONS,"11681 Progress Ln, Parker, CO 80134",PREM 91 (PREMIUM 91 NO ETHANOL (CLEAR) BULK),443,$496.05 ,"$1,029.40 ","$1,525.45 ",$1.12 ,$942.39 ,"$1,029.40 ","$1,028.87 "
1/2/2025,R O A TRUCKING LLC,"REX ASHLOCK 1801 POPLAR AVE CANON CITY, CO 81212",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),204,$64.51 ,$474.03 ,$538.54 ,$0.32 ,$433.97 ,$474.03 ,$473.79 
1/2/2025,"RAY LIPPIS EXCAVATING, LLC","910 RIVERSIDE AVE CANON CITY, CO 81212",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),200,$63.24 ,$464.74 ,$527.98 ,$0.32 ,$425.46 ,$464.74 ,$464.50 
1/2/2025,"RAY LIPPIS EXCAVATING, LLC","910 RIVERSIDE AVE CANON CITY, CO 81212",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),64,$28.25 ,$148.64 ,$176.89 ,$0.44 ,$136.15 ,$148.72 ,$148.64 
1/2/2025,ALPINE DISPOSAL INC SVCS CANON CITY,"645 McDANIEL BLVD. CANON CITY, CO 81212",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),735,$205.80 ,"$1,707.92 ","$1,913.72 ",$0.28 ,"$1,563.57 ","$1,707.92 ","$1,707.04 "
1/2/2025,J.E. DUNN CONSTRUCTION CO,"ATTN: ACCOUNTS PAYABLE 1001 LOCUST KANSAS CITY, MO 6410613241",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),41,$14.31 ,$95.22 ,$109.53 ,$0.35 ,$87.22 ,$95.27 ,$95.22 
1/2/2025,KIRA,"8120 EDGERTON DRIVE USAF ACADEMY, CO  80840","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",540,$135.00 ,"$1,148.74 ","$1,283.74 ",$0.25 ,"$1,148.74 ","$1,254.80 ","$1,254.15 "
1/2/2025,KIRA,"8120 EDGERTON DRIVE USAF ACADEMY, CO  80840",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),126,$35.28 ,$292.79 ,$328.07 ,$0.28 ,$268.04 ,$292.79 ,$292.64 
1/2/2025,COLORADO SPRGS UTILITIES,"P.O. BOX 1103 MAIL CODE 929 COLORADO SPRINGS, CO 80947dr",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),204,$77.52 ,$473.79 ,$551.31 ,$0.38 ,$433.97 ,$474.03 ,$473.79 
1/2/2025,COLORADO SPRGS UTILITIES,"P.O. BOX 1103 MAIL CODE 929 COLORADO SPRINGS, CO 80947dr",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),69,$26.22 ,$160.25 ,$186.47 ,$0.38 ,$146.78 ,$160.34 ,$160.25 
1/2/2025,U PULL AND PAY,"PO BOX 5804 CINCINNATI, OH 45201",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),275,$191.80 ,$638.69 ,$830.49 ,$0.70 ,$585.01 ,$639.02 ,$638.69 
1/2/2025,AGRILAND FS,"AGRILAND FS DBA BRING FUEL 421 N. 10TH ST WINTERSET, IA 50273",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),701,$266.38 ,"$1,628.07 ","$1,894.45 ",$0.38 ,"$1,491.24 ","$1,628.91 ","$1,628.07 "
1/2/2025,GARDEN OF THE GODS CLUB,"1495 HILL CIRCLE COLORADO SPRINGS, CO 80904","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",98,$95.80 ,$186.20 ,$282.00 ,$0.98 ,$186.20 ,$218.54 ,$219.52 
1/2/2025,ALPINE DISPOSAL INC SVCS - MAIN,"1025 S EL PASO COLORADO SPRINGS, CO 80901",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"2,307",$761.31 ,"$5,360.78 ","$6,122.09 ",$0.33 ,"$4,907.68 ","$5,360.78 ","$5,358.01 "
1/2/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",69,$17.25 ,$146.78 ,$164.03 ,$0.25 ,$146.78 ,$160.34 ,$160.25 
1/2/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),219,$61.32 ,$508.89 ,$570.21 ,$0.28 ,$465.88 ,$508.89 ,$508.63 
1/2/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,262",$353.37 ,"$2,931.00 ","$3,284.36 ",$0.28 ,"$2,684.65 ","$2,932.51 ","$2,931.00 "
1/2/2025,INFINITE DISPOSAL,"1809 N CIRCLE DR COLORADO SPRINGS, CO 80909",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"1,650",$379.51 ,"$3,834.11 ","$4,213.61 ",$0.23 ,"$3,510.05 ","$3,834.11 ","$3,832.13 "
1/2/2025,"5150 HOLDINGS/PAONIA, INC.","6275 Lake Shore Court Colorado Springs, CO 80915",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"1,349",$773.92 ,"$3,008.27 ","$3,782.19 ",$0.57 ,"$2,563.10 ","$3,008.27 ","$3,021.76 "
1/2/2025,"5150 HOLDINGS/PAONIA, INC.","6275 Lake Shore Court Colorado Springs, CO 80915",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),194,$109.13 ,$434.56 ,$543.69 ,$0.56 ,$368.60 ,$432.62 ,$434.56 
1/2/2025,GORDON CONSTRUCTION,"5080 MARK DABLING BLVD COLORADO SPRINGS, CO 80918",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),516,$185.76 ,"$1,198.41 ","$1,384.17 ",$0.36 ,"$1,097.69 ","$1,199.03 ","$1,198.41 "
1/2/2025,"PIKES PEAK STEEL, LLC","3550 MARK DABLING BLVD COLO SPGS, CO 80907","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",185,$120.30 ,$393.55 ,$513.85 ,$0.65 ,$393.55 ,$429.88 ,$429.66 
1/2/2025,RUSIN CONCRETE,"4004 MARK DABLING BLVD COLORADO SPRINGS, CO  80907","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",58,$14.50 ,$123.38 ,$137.88 ,$0.25 ,$123.38 ,$134.77 ,$134.71 
1/2/2025,RUSIN CONCRETE,"4004 MARK DABLING BLVD COLORADO SPRINGS, CO  80907",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),388,$108.64 ,$901.60 ,"$1,010.24 ",$0.28 ,$825.39 ,$901.60 ,$901.13 
1/2/2025,REPUBLIC SVCS - FAB SHOP,"160 SUTTON LANE COLORADO SPRINGS, CO  80907",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),138,$38.64 ,$320.67 ,$359.31 ,$0.28 ,$293.57 ,$320.67 ,$320.51 
1/2/2025,"COLORADO JETCENTER, INC.","1575 AVIATION WAY COLORADO SPRINGS, CO 80916",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,563",$650.77 ,"$3,630.07 ","$4,280.84 ",$0.42 ,"$3,324.97 ","$3,631.94 ","$3,630.07 "
1/2/2025,PETROLEUM TRADERS CORP,"P.O. BOX 2357 FT WAYNE, IN 46801-2357",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),525,$199.50 ,"$1,219.94 ","$1,419.44 ",$0.38 ,"$1,116.83 ","$1,219.94 ","$1,219.31 "
1/2/2025,PETROLEUM TRADERS CORP,"P.O. BOX 2357 FT WAYNE, IN 46801-2357",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),35,$13.30 ,$81.29 ,$94.59 ,$0.38 ,$74.46 ,$81.33 ,$81.29 
1/2/2025,BAILEY'S MOVING & STORAGE,"400 NORTH 700 WEST NORTH SALT LAKE, UT 84054",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),59,$28.32 ,$137.10 ,$165.42 ,$0.48 ,$125.51 ,$137.10 ,$137.03 
1/2/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),22,$7.69 ,$51.10 ,$58.78 ,$0.35 ,$46.80 ,$51.12 ,$51.10 
1/2/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),68,$23.72 ,$157.93 ,$181.65 ,$0.35 ,$144.66 ,$158.01 ,$157.93 
1/2/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),49,$17.10 ,$113.80 ,$130.90 ,$0.35 ,$104.24 ,$113.86 ,$113.80 
1/3/2025,KIRA,"8120 EDGERTON DRIVE USAF ACADEMY, CO  80840","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",641,$160.25 ,"$1,380.14 ","$1,540.39 ",$0.25 ,"$1,380.14 ","$1,511.80 ","$1,510.52 "
1/3/2025,KIRA,"8120 EDGERTON DRIVE USAF ACADEMY, CO  80840",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),159,$44.52 ,$375.00 ,$419.52 ,$0.28 ,$342.34 ,$375.00 ,$374.68 
1/3/2025,TWO MEN AND A TRUCK,"ERIC ST. PIERRE 3220 FILLMORE RIDGE HEIGHTS COLORADO SPRINGS, CO 80907","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",18,$6.30 ,$38.76 ,$45.06 ,$0.35 ,$38.76 ,$42.45 ,$42.42 
1/3/2025,TWO MEN AND A TRUCK,"ERIC ST. PIERRE 3220 FILLMORE RIDGE HEIGHTS COLORADO SPRINGS, CO 80907",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),159,$60.42 ,$375.00 ,$435.42 ,$0.38 ,$342.34 ,$375.00 ,$374.68 
1/3/2025,ABOVE & BEYOND LANDSCAPE,"1960 ASPEN CIRCLE PUEBLO, CO 81006",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),206,$129.74 ,$465.56 ,$595.30 ,$0.63 ,$391.40 ,$465.56 ,$463.50 
1/3/2025,ABOVE & BEYOND LANDSCAPE,"1960 ASPEN CIRCLE PUEBLO, CO 81006",PREM 91 (PREMIUM 91 NO ETHANOL (CLEAR) BULK),110,$130.18 ,$248.60 ,$378.78 ,$1.18 ,$209.00 ,$248.60 ,$247.50 
1/3/2025,FREMONT PAVING UNITED COMPANIES,"839 MACKENZIE AVE PO BOX 841 CANON CITY, CO 81212",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,500",$720.00 ,"$3,534.75 ","$4,254.75 ",$0.48 ,"$3,229.65 ","$3,537.75 ","$3,534.75 "
1/3/2025,TARGET DISTRIBUTION CENTER T0554,"34800 UNITED AVE PUEBLO, CO 81001",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),412,$197.76 ,$970.88 ,"$1,168.64 ",$0.48 ,$887.08 ,$971.70 ,$970.88 
1/3/2025,ARACO CIVIL LLC,"3380 ASTROZON BLVD. COLORADO SPRINGS, CO  80910",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),152,$42.56 ,$358.19 ,$400.75 ,$0.28 ,$327.27 ,$358.49 ,$358.19 
1/3/2025,FRONTIER ENVIRONMENTAL SERVICES LLC,BRENT SCARBROUGH 5885 ALLISON ST #1838,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),542,$334.85 ,"$1,219.50 ","$1,554.35 ",$0.62 ,"$1,029.80 ","$1,224.92 ","$1,219.50 "
1/3/2025,NARANJO CIVIL CONSTRUCTORS INC,"JERRY NARANJO 627 27TH ST GARDEN CITY, CO 80631",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),343,$147.49 ,$808.28 ,$955.77 ,$0.43 ,$738.51 ,$808.97 ,$808.28 
1/3/2025,SITE ONE LANDSCAPING,"650 STEPHENSON HWY TROY, MI  48071",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),423,$237.43 ,$996.80 ,"$1,234.23 ",$0.56 ,$910.76 ,$997.65 ,$996.80 
1/3/2025,BILL'S EQUIPMENT & SUPPLY,"125 S. CHESTNUT STREET COLO SPGS, CO 80905",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),448,$197.71 ,"$1,055.71 ","$1,253.42 ",$0.44 ,$964.59 ,"$1,056.61 ","$1,055.71 "
1/3/2025,C & C Land {COD},"8500 MOHAWK RD. COLORADO SPRINGS, CO  80908",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,311",$718.18 ,"$2,949.75 ","$3,667.93 ",$0.55 ,"$2,490.90 ","$2,962.86 ","$2,949.75 "
1/3/2025,"5150 HOLDINGS/PAONIA, INC.","6275 Lake Shore Court Colorado Springs, CO 80915","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",250,$175.78 ,$475.00 ,$650.78 ,$0.70 ,$475.00 ,$565.00 ,$562.50 
1/3/2025,"5150 HOLDINGS/PAONIA, INC.","6275 Lake Shore Court Colorado Springs, CO 80915",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"1,188",$687.26 ,"$2,684.88 ","$3,372.14 ",$0.58 ,"$2,257.20 ","$2,684.88 ","$2,673.00 "
1/3/2025,ALPINE DISPOSAL INC SVCS - MAIN,"1025 S EL PASO COLORADO SPRINGS, CO 80901",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"1,450",$478.51 ,"$3,419.83 ","$3,898.33 ",$0.33 ,"$3,122.00 ","$3,419.83 ","$3,416.93 "
1/3/2025,BUILDER'S FIRST SOURCE-LUMBER,"870 PAONIA  ST COLORADO SPRINGS, CO 80915",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),233,$65.24 ,$549.53 ,$614.77 ,$0.28 ,$501.67 ,$549.53 ,$549.06 
1/3/2025,BUILDER'S FIRST SOURCE-LUMBER,"870 PAONIA  ST COLORADO SPRINGS, CO 80915",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),30,$8.40 ,$70.70 ,$79.10 ,$0.28 ,$64.59 ,$70.76 ,$70.70 
1/3/2025,WBS COATINGS,"596 23 1/2 STREET GRAND JUNCTION, CO 81505",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),885,$502.51 ,"$1,991.25 ","$2,493.76 ",$0.57 ,"$1,681.50 ","$2,000.10 ","$1,991.25 "
1/3/2025,MANSFIELD OIL CO.,"1025 AIRPORT PKWY SW GAINESVILLE, GA 30501",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,300",$573.70 ,"$3,063.45 ","$3,637.15 ",$0.44 ,"$2,799.03 ","$3,066.05 ","$3,063.45 "
1/3/2025,GEOCYCLE LLC,"PO #5500014140 P.O. BOX 300 CONCORD, ON CANADA L4K 186, ON",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),113,$97.33 ,$266.28 ,$363.61 ,$0.86 ,$243.30 ,$266.51 ,$266.28 
1/3/2025,COLORADO SPRGS UTILITIES,"P.O. BOX 1103 MAIL CODE 929 COLORADO SPRINGS, CO 80947dr",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),73,$27.74 ,$172.02 ,$199.76 ,$0.38 ,$157.18 ,$172.17 ,$172.02 
1/3/2025,RANDY'S HIGH COUNTRY,"TOWING  *** 1205 E LAS VEGAS STREET COLORADO SPRINGS, CO 80903",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),277,$77.51 ,$626.02 ,$703.53 ,$0.28 ,$526.30 ,$626.02 ,$623.25 
1/3/2025,RELIABLE SANITATION ***,"2239 COMMERCIAL BLVD COLORADO SPRINGS, CO 80906","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",195,$82.40 ,$419.85 ,$502.25 ,$0.42 ,$419.85 ,$459.91 ,$459.52 
1/3/2025,RELIABLE SANITATION ***,"2239 COMMERCIAL BLVD COLORADO SPRINGS, CO 80906",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),273,$117.75 ,$643.87 ,$761.62 ,$0.43 ,$587.80 ,$643.87 ,$643.32 
1/3/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,"UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",107,$32.06 ,$230.38 ,$262.44 ,$0.30 ,$230.38 ,$252.36 ,$252.15 
1/3/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),30,$10.48 ,$70.70 ,$81.17 ,$0.35 ,$64.59 ,$70.76 ,$70.70 
1/3/2025,FUEL LOGIC,"1349 EMPIRE CENTRAL DALLAS, TX 75247-",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),395,$231.67 ,$888.75 ,"$1,120.42 ",$0.59 ,$750.50 ,$892.70 ,$888.75 
1/3/2025,"LIBERTY DISPOSAL, INC.","MATTHEW BRIGANCE PO BOX 489 HAMPSTEAD, NC 28443",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),405,$214.57 ,$915.30 ,"$1,129.87 ",$0.53 ,$769.50 ,$915.30 ,$911.25 
1/3/2025,PETROLEUM TRADERS CORP,"P.O. BOX 2357 FT WAYNE, IN 46801-2357",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),638,$242.44 ,"$1,504.72 ","$1,747.16 ",$0.38 ,"$1,373.68 ","$1,504.72 ","$1,503.45 "
1/3/2025,PETROLEUM TRADERS CORP,"P.O. BOX 2357 FT WAYNE, IN 46801-2357",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),31,$11.78 ,$73.05 ,$84.83 ,$0.38 ,$66.75 ,$73.11 ,$73.05 
1/3/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",22,$5.50 ,$47.37 ,$52.87 ,$0.25 ,$47.37 ,$51.89 ,$51.84 
1/3/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),66,$18.48 ,$155.66 ,$174.14 ,$0.28 ,$142.10 ,$155.66 ,$155.53 
1/3/2025,FRAZEE CONSTRUCTION CO,"2875 E. LAS VEGAS COLORADO SPRINGS, CO 80906",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,286",$360.08 ,"$3,030.46 ","$3,390.54 ",$0.28 ,"$2,768.89 ","$3,033.03 ","$3,030.46 "
1/3/2025,ALPINE DISPOSAL INC SVCS - MAIN,"1025 S EL PASO COLORADO SPRINGS, CO 80901",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"1,899",$626.67 ,"$4,478.79 ","$5,105.46 ",$0.33 ,"$4,088.74 ","$4,478.79 ","$4,474.99 "
1/3/2025,INFINITE DISPOSAL,"1809 N CIRCLE DR COLORADO SPRINGS, CO 80909",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),894,$205.62 ,"$2,108.50 ","$2,314.12 ",$0.23 ,"$1,924.87 ","$2,108.50 ","$2,106.71 "
1/3/2025,ALPINE DISPOSAL INC - TRSF STATION,"PO BOX 1207 COLORADO SPRINGS, CO 80901",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),179,$59.07 ,$422.17 ,$481.24 ,$0.33 ,$385.40 ,$422.17 ,$421.81 
1/3/2025,ALPINE DISPOSAL INC - TRSF STATION,"PO BOX 1207 COLORADO SPRINGS, CO 80901",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),158,$52.14 ,$372.33 ,$424.47 ,$0.33 ,$340.19 ,$372.64 ,$372.33 
1/3/2025,BRIGHTVIEW LANDSCAPE SERVICES,"7357 COLE VIEW COLORADO SPRINGS, CO 80915","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",718,$413.31 ,"$1,364.20 ","$1,777.51 ",$0.58 ,"$1,364.20 ","$1,622.68 ","$1,615.50 "
1/3/2025,BRIGHTVIEW LANDSCAPE SERVICES,"7357 COLE VIEW COLORADO SPRINGS, CO 80915",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),57,$24.50 ,$128.82 ,$153.32 ,$0.43 ,$108.30 ,$128.82 ,$128.25 
1/3/2025,FEDEX GROUND - CS (TROY HILL),"FEDEX  GROUND 125 N TROY HILL RD COLO SPGS, CO 80916",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),19,$15.77 ,$42.94 ,$58.71 ,$0.83 ,$36.10 ,$42.94 ,$42.75 
1/3/2025,TAYLOR FARMS COLORADO,"890 N. NEWPORT ROAD COLORADO SPRINGS, CO 80916",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),377,$200.31 ,$889.15 ,"$1,089.46 ",$0.53 ,$811.72 ,$889.15 ,$888.40 
1/3/2025,FINSTERWALD IRRIGATION,"2232 WEST UINTAH COLO SPGS, CO 80904","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",94,$72.91 ,$178.60 ,$251.51 ,$0.78 ,$178.60 ,$212.44 ,$211.50 
1/3/2025,FINSTERWALD IRRIGATION,"2232 WEST UINTAH COLO SPGS, CO 80904",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),165,$103.92 ,$372.90 ,$476.82 ,$0.63 ,$313.50 ,$372.90 ,$371.25 
1/3/2025,HPD ENTERPRISE INC.,"125 N. WAHSATCH COLORADO SPRINGS, CO 80903",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),149,$64.07 ,$351.12 ,$415.19 ,$0.43 ,$320.81 ,$351.42 ,$351.12 
1/3/2025,BROADMOOR GOLF/CART SHOP,"P.O. BOX 9024 LAWRENCE, KS 66044","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)","1,004",$251.06 ,"$2,161.71 ","$2,412.77 ",$0.25 ,"$2,161.71 ","$2,367.93 ","$2,365.93 "
1/3/2025,WEATHERCRAFT ROOFING,"JOHN FLEMING PO BOX 16039 COLORADO SPRINGS, CO 80935","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",143,$86.24 ,$271.70 ,$357.94 ,$0.60 ,$271.70 ,$323.18 ,$321.75 
1/3/2025,WEATHERCRAFT ROOFING,"JOHN FLEMING PO BOX 16039 COLORADO SPRINGS, CO 80935",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),6,$2.87 ,$13.56 ,$16.43 ,$0.48 ,$11.40 ,$13.56 ,$13.50 
1/6/2025,C & C Land {COD},"8500 MOHAWK RD. COLORADO SPRINGS, CO  80908","UNLEADED (UNLEAD 10% ETHANOL, 85 OCTANE BULK)",37,$19.82 ,$71.04 ,$90.86 ,$0.54 ,$71.04 ,$84.36 ,$85.10 
1/6/2025,C & C Land {COD},"8500 MOHAWK RD. COLORADO SPRINGS, CO  80908",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,003",$499.30 ,"$2,306.90 ","$2,806.20 ",$0.50 ,"$1,925.76 ","$2,286.84 ","$2,306.90 "
